external_id,rpp_user_id,disable_push
65682868,14f69032-282f-4d2d-a81f-c2d2d378285c,0
56755037,e7e438f4-9c5d-44f9-9822-3255985145db,0
56882283,9939954f-b770-4494-962b-e1fdbd8b65a4,0
21081789,e9e160a7-512f-4e2e-bcc7-d55d6d625800,0
13315093,43640cf2-619f-4797-bd20-5ce3efe569bc,0
35788922,11d1b0d2-1a3a-495c-a596-164e031db546,0
26735831,92d2a477-60e2-4eb5-bf6e-c124f3188283,0
93410763,fcbfe547-bd23-4c31-b527-9a661516605d,0
96319576,db31638b-a82a-41d6-9ce9-832f3530a4a2,1
91090293,5b2cc1f7-22f3-410f-8fee-e0b7aea2aba5,0
31632484,54afe055-fa59-4bf2-a4d8-a8608f7900f9,0
76737384,1c04e3da-0b42-4ee6-8f68-fab6813eb22a,0
88358552,6921ff81-aee8-4a62-935c-4fe5ef127913,0
88409750,ec6b7cd9-8166-4caa-9c82-d99499b85b66,0
4981506,2f09df3f-2b00-4990-8a20-474233ffa998,0
13953368,c34e2f24-b50d-4fd2-9089-753994d3ddae,0
85652972,b44b146b-005d-49eb-91d0-37d76c4b9b74,0
4521374,c9624f22-4c0e-4419-88cf-599b331a0dad,0
3344770,733602ea-3e10-4a88-b8a0-72b822b8ce9e,0
98750924,bca7bc0e-a984-44c2-9b7a-08ea74b42866,0
76893498,6976654f-f5e6-4b16-9a23-eaa5d64ba12a,0
30349565,d524f8b4-9c6a-4e51-bccc-adbbbe823786,0
99052377,da2123e6-da74-470a-8750-c602e1d7e9c9,0
42860081,3dca6eb3-0c8e-4b5b-9728-8bdba4b533fc,0
77751355,bf0635a8-6899-4d4a-b415-803bc9eb184b,0
62250666,978d3a31-eb00-4151-b8ef-f88950a3f299,0
66209792,b81b7417-83b4-479d-bdea-02a3b056a5db,0
46792156,8146cb49-14a8-4166-8d4d-4e71adb71d1f,0
21498556,8968dac9-5b43-43d4-b9ee-5c2650ac718a,0
97117136,965005ad-97a2-489e-a255-e9b2a91c2303,0
60221199,72ca6a74-880c-4ae0-b939-4e3f0b601118,0
79757502,295c6dc9-c4d0-43f1-9979-5d32283b471a,0
16861871,09497b09-4ca8-405a-ab36-a488eb9e0883,0
52286003,4aae1a76-443b-4ac3-b2e7-28779be0fc44,0
32049004,a0755654-907a-49d6-8c98-768a7f10f749,0
61136439,6e85f223-fd18-4f6a-a0ce-91973fed753e,0
62194932,7350b8b5-0009-4161-a446-0a56f7419f86,0
